id,name,experience,average_case_completion_days,BarLicenseNumber,rating,province
1052,Misha Bava,22,86,6096,4,Sudurpaschim
1053,Chirag Sachdeva,16,98,9938,3,Koshi
1054,Hridaan Sen,8,84,1789,2,Gandaki
1055,Damini Ramakrishnan,4,90,4399,1,Bagmati
1056,Zeeshan Mandal,8,85,8154,2,Bagmati
1057,Jayant Doshi,4,83,1799,1,Gandaki
1058,Veer Tella,24,79,6921,4,Gandaki
1059,Dhruv Wason,25,97,5815,4,Lumbini
1060,Manikya Boase,3,0,7183,1,Koshi
1061,Darshit Batta,3,107,8461,1,Madhesh
1062,Devansh Bath,27,71,3214,4,Bagmati
1063,Kabir Sahota,29,109,7900,5,Gandaki
1064,Manikya Kothari,18,85,3865,3,Gandaki
1065,Kiara Yogi,29,99,2841,5,Koshi
1066,Trisha Ganesh,26,76,6185,4,Madhesh
1067,Dhanush Chauhan,19,92,2278,3,Gandaki
1068,Kaira Raman,19,94,1879,3,Lumbini
1069,Saksham Yadav,21,67,9694,4,Madhesh
1070,Nehmat Bajwa,5,0,2430,2,Lumbini
1071,Divit Sampath,18,110,9075,3,Sudurpaschim
1072,Saira Sundaram,28,87,4611,5,Bagmati
1073,Vihaan Tandon,10,110,5598,3,Gandaki
1074,Bhavin Dhar,29,87,1397,5,Madhesh
1075,Damini Dora,22,102,6740,4,Lumbini
1076,Raunak Mammen,21,56,9253,4,Bagmati
1077,Baiju Gulati,6,126,9216,2,Bagmati
1078,Amira Bal,1,112,2085,1,Gandaki
1079,Emir Sunder,5,85,3767,2,Bagmati
1080,Shray Gupta,9,0,8252,2,Gandaki
1081,Samarth Gade,12,94,4760,3,Sudurpaschim
1082,Mohanlal Keer,26,68,2948,4,Gandaki
1083,Elakshi Chana,14,96,8682,3,Koshi
1084,Purab Andra,2,96,3045,1,Lumbini
1085,Misha Khare,17,75,3961,3,Koshi
1086,Arnav Konda,14,106,6438,3,Bagmati
1087,Yuvaan Kadakia,26,102,3329,4,Bagmati
1088,Dharmajan Chada,13,104,1453,3,Bagmati
1089,Shayak Kant,27,90,7531,4,Gandaki
1090,Jayesh Kala,9,0,8963,2,Madhesh
1091,Piya Bath,26,104,2983,4,Gandaki
1092,Neysa Gupta,25,85,5994,4,Lumbini
1093,Tejas Subramanian,15,69,5350,3,Gandaki
1094,Bhamini Khanna,25,110,9913,4,Bagmati
1095,Eva Vyas,22,121,8910,4,Sudurpaschim
1096,Alia Shan,15,89,9687,3,Lumbini
1097,Reyansh Sharaf,24,122,3827,4,Koshi
1098,Divyansh Kashyap,11,91,7134,3,Sudurpaschim
1099,Dhruv Solanki,16,84,9544,3,Lumbini
1100,Diya Korpal,29,0,2838,5,Lumbini
1101,Anika Shere,17,114,4512,3,Bagmati
1102,Fateh Bhatia,26,78,9853,4,Koshi
1103,Yuvraj  Basak,4,101,1379,1,Gandaki
1104,Jiya Golla,1,81,4074,1,Koshi
1105,Miraya Toor,8,83,8720,2,Bagmati
1106,Vanya Gaba,17,105,5031,3,Bagmati
1107,Onkar Dua,3,84,9844,1,Bagmati
1108,Indranil Madan,29,83,2125,5,Sudurpaschim
1109,Priyansh Bajwa,20,106,3574,4,Koshi
1110,Sara Thaker,15,0,4701,3,Koshi
1111,Amani Ranganathan,15,99,5159,3,Lumbini
1112,Jivika Shroff,24,80,4533,4,Madhesh
1113,Aradhya Shanker,22,82,8589,4,Gandaki
1114,Divij Hayer,14,91,3062,3,Bagmati
1115,Kabir Shan,26,94,3160,4,Koshi
1116,Anahita Mammen,28,75,3491,5,Koshi
1117,Samiha Ben,23,100,1651,4,Lumbini
1118,Ahana  Samra,14,91,7438,3,Gandaki
1119,Divyansh Sekhon,24,64,6554,4,Madhesh
1120,Navya Hayer,2,0,6468,1,Madhesh
1121,Yuvaan Walia,13,82,5356,3,Bagmati
1122,Purab Datta,26,88,6853,4,Madhesh
1123,Khushi Johal,14,118,9774,3,Madhesh
1124,Nehmat Behl,27,93,8101,4,Gandaki
1125,Samarth Das,24,77,6695,4,Gandaki
1126,Indrans Upadhyay,19,93,3177,3,Bagmati
1127,Aaina Kurian,7,84,3467,2,Koshi
1128,Shamik Wali,3,94,7071,1,Lumbini
1129,Rhea Balan,15,98,9186,3,Bagmati
1130,Vihaan Bhagat,23,0,2626,4,Sudurpaschim
1131,Alia Choudhury,14,89,4519,3,Madhesh
1132,Romil Iyer,11,114,4380,3,Lumbini
1133,Jiya Shah,15,103,8829,3,Koshi
1134,Kartik Thaker,28,79,2850,5,Koshi
1135,Zeeshan Char,13,123,5518,3,Gandaki
1136,Vanya Baral,18,94,1893,3,Sudurpaschim
1137,Vaibhav Thakur,26,77,4881,4,Koshi
1138,Priyansh Raval,6,114,5854,2,Sudurpaschim
1139,Ritvik Gopal,3,121,8180,1,Madhesh
1140,Hunar Dara,19,0,4949,3,Gandaki
1141,Anay Dutt,15,82,9815,3,Lumbini
1142,Rohan Arya,25,87,2318,4,Gandaki
1143,Suhana Ghosh,23,100,9312,4,Madhesh
1144,Dharmajan Sandhu,5,109,3414,2,Koshi
1145,Samar Kurian,28,98,2244,5,Sudurpaschim
1146,Kanav Khatri,10,91,1695,3,Madhesh
1147,Manikya Chaudhari,7,112,5898,2,Koshi
1148,Rasha Bhandari,25,85,9877,4,Bagmati
1149,Hansh Iyer,17,105,1423,3,Sudurpaschim
1150,Biju Lata,7,0,3527,2,Madhesh
1151,Oorja Lalla,22,96,1895,4,Lumbini
1152,Advik Mannan,26,88,3959,4,Lumbini
1153,Ryan Ranganathan,12,89,3928,3,Koshi
1154,Yuvaan Sha,25,84,6841,4,Koshi
1155,Abram Sidhu,17,110,1239,3,Lumbini
1156,Akarsh Lalla,13,79,8328,3,Bagmati
1157,Misha Krish,20,78,9501,4,Gandaki
1158,Sumer Wadhwa,25,121,2300,4,Lumbini
1159,Jivin Hayer,4,104,2058,1,Koshi
1160,Vanya Bandi,10,0,7630,3,Koshi
1161,Ojas Thakkar,3,81,1151,1,Bagmati
1162,Advika Ahluwalia,9,62,7208,2,Lumbini
1163,Mahika Dass,13,75,1116,3,Bagmati
1164,Aaryahi Sama,18,42,2776,3,Lumbini
1165,Stuvan Rajagopal,15,87,2893,3,Gandaki
1166,Sumer Wable,4,72,7830,1,Madhesh
1167,Aaina Gopal,15,90,2216,3,Lumbini
1168,Yashvi Ram,22,65,2272,4,Madhesh
1169,Akarsh Kannan,2,91,3681,1,Lumbini
1170,Samar Lanka,15,0,6533,3,Gandaki
1171,Indrans Goel,8,112,5734,2,Koshi
1172,Lakshit Balakrishnan,8,111,6324,2,Madhesh
1173,Shanaya Mangat,17,101,5963,3,Bagmati
1174,Anahita Sagar,12,85,7102,3,Lumbini
1175,Abram Sanghvi,19,119,6780,3,Koshi
1176,Lakshit Ray,10,66,9429,3,Lumbini
1177,Kanav Dyal,9,68,4265,2,Bagmati
1178,Anika Shan,5,88,9914,2,Gandaki
1179,Zain Doctor,6,123,6562,2,Sudurpaschim
1180,Jiya Goel,20,0,7234,4,Lumbini
1181,Heer Shroff,26,87,8555,4,Bagmati
1182,Zoya Chand,2,68,9505,1,Sudurpaschim
1183,Miraya Kade,27,104,7051,4,Lumbini
1184,Akarsh Sidhu,24,104,6952,4,Madhesh
1185,Manikya Bhardwaj,27,101,5080,4,Koshi
1186,Divit Solanki,13,80,5117,3,Koshi
1187,Keya Dar,6,79,8616,2,Bagmati
1188,Akarsh Raj,5,70,3945,2,Madhesh
1189,Dhanush Sem,25,91,9714,4,Gandaki
1190,Ira Kari,1,0,7245,1,Sudurpaschim
1191,Ranbir Dhingra,21,72,4791,4,Bagmati
1192,Kabir Dar,22,83,8643,4,Lumbini
1193,Lavanya Bajwa,21,82,7182,4,Koshi
1194,Parinaaz Deol,6,81,9712,2,Lumbini
1195,Alia Kurian,6,96,6810,2,Sudurpaschim
1196,Jiya Hegde,23,91,7253,4,Madhesh
1197,Divyansh Sule,16,85,6889,3,Madhesh
1198,Faiyaz Ben,4,92,8971,1,Bagmati
1199,Umang Ben,11,75,2100,3,Bagmati
1200,Charvi Virk,24,0,1107,4,Madhesh
1201,Ishita Sangha,23,92,3413,4,Bagmati
1202,Yashvi Sha,9,67,3633,2,Madhesh
1203,Kismat Jayaraman,23,104,8092,4,Sudurpaschim
1204,Kaira Devan,3,76,2958,1,Bagmati
1205,Manikya Bath,19,91,4576,3,Madhesh
1206,Adah Sarin,8,107,3584,2,Bagmati
1207,Emir Bhagat,5,103,3235,2,Lumbini
1208,Rohan Gala,4,90,4392,1,Koshi
1209,Urvi Dixit,24,84,6298,4,Lumbini
1210,Chirag Krishnan,6,0,3284,2,Gandaki
1211,Zeeshan Vohra,2,100,1348,1,Madhesh
1212,Neelofar Karpe,20,80,7362,4,Gandaki
1213,Ivana Zacharia,28,78,2994,5,Madhesh
1214,Priyansh Wason,11,58,3119,3,Koshi
1215,Jivika Aurora,4,92,1179,1,Bagmati
1216,Ranbir Banerjee,15,88,5991,3,Madhesh
1217,Mehul Edwin,6,107,9353,2,Lumbini
1218,Jayant Kala,22,95,2209,4,Bagmati
1219,Lagan Saini,17,110,9212,3,Koshi
1220,Yasmin Bandi,24,0,3165,4,Lumbini
1221,Mishti Baral,6,107,9186,2,Bagmati
1222,Ela Chaudhry,19,82,9028,3,Madhesh
1223,Ryan Arora,25,101,1717,4,Madhesh
1224,Aaryahi Sarin,2,68,1032,1,Lumbini
1225,Misha Bera,15,93,7873,3,Sudurpaschim
1226,Sana Thaker,11,60,4890,3,Madhesh
1227,Lakshay Shroff,8,85,7269,2,Sudurpaschim
1228,Hazel Vala,26,96,2368,4,Bagmati
1229,Dishani Kalita,19,82,1497,3,Sudurpaschim
1230,Akarsh Bal,13,0,5649,3,Lumbini
1231,Urvi Boase,12,102,3143,3,Gandaki
1232,Hridaan Sur,5,88,8782,2,Gandaki
1233,Taran Kaul,6,82,3861,2,Lumbini
1234,Sana Varughese,26,90,1234,4,Gandaki
1235,Adira Bumb,22,129,9674,4,Lumbini
1236,Rhea Shroff,4,107,6623,1,Madhesh
1237,Dishani Khanna,19,107,1712,3,Sudurpaschim
